序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
1,2024/12/25 17:42:45.365,169.07,162.73,163.13,163.81,162.46,160.70,162.60
2,2024/12/25 17:42:47.119,172.17,164.81,165.22,165.67,164.33,162.54,164.44
3,2024/12/25 17:42:48.890,175.12,166.92,167.29,167.56,166.18,164.41,166.31
4,2024/12/25 17:42:50.656,178.09,168.99,169.37,169.41,168.08,166.28,168.15
5,2024/12/25 17:42:52.423,180.90,171.07,171.45,171.26,169.91,168.04,169.95
6,2024/12/25 17:42:54.192,183.63,173.16,173.50,173.11,171.73,169.88,171.78
7,2024/12/25 17:42:55.959,186.28,175.21,175.52,174.91,173.52,171.74,173.60
8,2024/12/25 17:42:57.727,188.82,177.21,177.60,176.64,175.28,173.51,175.35
9,2024/12/25 17:42:59.494,191.34,179.20,179.51,178.37,177.04,175.20,177.06
10,2024/12/25 17:43:01.246,193.87,181.24,181.52,180.14,178.73,176.87,178.83
11,2024/12/25 17:43:03.016,196.46,183.32,183.63,181.87,180.47,178.65,180.61
12,2024/12/25 17:43:04.784,198.85,185.32,185.59,183.65,182.23,180.35,182.31
13,2024/12/25 17:43:06.552,201.11,187.33,187.50,185.38,183.96,182.02,183.85
14,2024/12/25 17:43:08.320,203.34,189.29,189.40,187.11,185.65,183.64,185.26
15,2024/12/25 17:43:10.090,205.54,191.27,191.23,188.82,187.38,185.18,186.68
16,2024/12/25 17:43:11.843,207.79,193.15,193.17,190.55,189.07,186.78,188.14
17,2024/12/25 17:43:13.612,210.20,195.07,195.09,192.28,190.77,188.42,189.64
18,2024/12/25 17:43:15.379,212.54,196.96,197.01,193.93,192.50,190.09,191.24
19,2024/12/25 17:43:17.148,214.83,198.83,198.88,195.59,194.17,191.73,192.89
20,2024/12/25 17:43:18.917,217.08,200.78,200.79,197.29,195.83,193.28,194.56
21,2024/12/25 17:43:20.686,219.36,202.66,202.62,198.91,197.48,194.95,196.22
22,2024/12/25 17:43:22.440,221.52,204.45,204.41,200.58,199.12,196.55,197.93
23,2024/12/25 17:43:24.209,223.64,206.25,206.17,202.21,200.70,198.10,199.57
24,2024/12/25 17:43:25.978,225.73,208.09,207.97,203.83,202.34,199.67,201.21
25,2024/12/25 17:43:27.748,227.80,209.87,209.74,205.39,203.95,201.27,202.80
26,2024/12/25 17:43:29.516,229.84,211.63,211.56,207.04,205.54,202.88,204.42
27,2024/12/25 17:43:31.268,231.85,213.41,213.32,208.64,207.21,204.46,206.04
28,2024/12/25 17:43:33.037,233.84,215.18,215.06,210.24,208.75,206.00,207.63
29,2024/12/25 17:43:34.806,235.84,217.00,216.78,211.89,210.27,207.53,209.23
30,2024/12/25 17:43:36.575,237.79,218.70,218.46,213.46,211.84,209.04,210.82
31,2024/12/25 17:43:38.344,239.72,220.40,220.11,215.01,213.37,210.57,212.38
32,2024/12/25 17:43:40.100,241.60,222.07,221.76,216.55,214.96,212.06,213.94
33,2024/12/25 17:43:41.869,243.49,223.72,223.46,218.03,216.45,213.61,215.47
34,2024/12/25 17:43:43.638,245.33,225.39,225.09,219.55,217.99,215.13,216.95
35,2024/12/25 17:43:45.407,247.16,227.07,226.71,220.92,219.45,216.65,218.48
36,2024/12/25 17:43:47.162,248.97,228.69,228.34,222.39,220.93,218.07,220.02
37,2024/12/25 17:43:48.941,250.72,230.28,229.96,223.86,222.41,219.46,221.45
38,2024/12/25 17:43:50.704,252.48,231.89,231.55,225.38,223.87,220.90,222.96
39,2024/12/25 17:43:52.458,254.26,233.50,233.14,226.81,225.33,222.36,224.42
40,2024/12/25 17:43:54.226,255.93,235.02,234.70,228.26,226.77,223.77,225.84
41,2024/12/25 17:43:55.994,257.66,236.58,236.24,229.61,228.16,225.17,227.22
42,2024/12/25 17:43:57.761,259.25,238.11,237.70,231.01,229.56,226.57,228.64
43,2024/12/25 17:43:59.529,260.92,239.61,239.21,232.34,230.95,227.89,230.07
44,2024/12/25 17:44:01.297,262.49,241.08,240.66,233.74,232.31,229.23,231.44
45,2024/12/25 17:44:03.065,264.10,242.56,242.18,235.06,233.70,230.59,232.82
46,2024/12/25 17:44:04.832,265.70,244.03,243.70,236.40,235.06,231.99,234.19
47,2024/12/25 17:44:06.587,267.27,245.48,245.13,237.75,236.41,233.32,235.53
48,2024/12/25 17:44:08.356,268.82,246.98,246.58,239.06,237.78,234.63,236.88
49,2024/12/25 17:44:10.125,269.98,248.44,248.09,240.37,239.13,235.95,238.21
50,2024/12/25 17:44:11.892,270.33,249.93,249.47,241.77,240.59,237.26,239.59
51,2024/12/25 17:44:13.661,269.83,251.33,250.89,243.07,241.90,238.58,240.98
52,2024/12/25 17:44:15.428,268.85,252.70,252.23,244.39,243.23,239.88,242.28
53,2024/12/25 17:44:17.195,267.77,253.98,253.49,245.73,244.58,241.25,243.61
54,2024/12/25 17:44:18.962,266.90,255.21,254.63,246.96,245.89,242.55,244.87
55,2024/12/25 17:44:20.714,266.49,256.39,255.82,248.28,247.13,243.78,246.16
56,2024/12/25 17:44:22.481,266.56,257.55,256.90,249.53,248.40,244.98,247.46
57,2024/12/25 17:44:24.250,267.03,258.67,258.00,250.80,249.58,246.20,248.71
58,2024/12/25 17:44:26.018,267.92,259.86,259.25,252.15,250.93,247.46,250.03
59,2024/12/25 17:44:27.785,268.75,261.08,260.58,253.55,252.34,248.87,251.43
60,2024/12/25 17:44:29.553,269.53,262.32,261.87,254.98,253.76,250.29,252.85
61,2024/12/25 17:44:31.321,270.10,263.59,263.08,256.38,255.20,251.63,254.30
62,2024/12/25 17:44:33.089,270.45,264.82,264.39,257.74,256.57,253.04,255.71
63,2024/12/25 17:44:34.857,270.51,266.10,265.65,259.10,257.93,254.39,257.10
64,2024/12/25 17:44:36.609,270.47,267.33,266.85,260.48,259.29,255.68,258.46
65,2024/12/25 17:44:38.377,270.30,268.53,267.99,261.86,260.65,256.98,259.83
66,2024/12/25 17:44:40.145,270.16,269.70,269.13,263.16,262.03,258.29,261.17
67,2024/12/25 17:44:41.913,270.10,270.57,270.20,264.46,263.32,259.56,262.52
68,2024/12/25 17:44:43.680,270.15,270.99,270.97,265.78,264.68,260.88,263.86
69,2024/12/25 17:44:45.446,270.32,271.11,271.34,267.09,265.95,262.17,265.20
70,2024/12/25 17:44:47.214,270.49,271.08,271.56,268.41,267.29,263.52,266.44
71,2024/12/25 17:44:48.982,270.70,271.02,271.61,269.65,268.60,264.78,267.76
72,2024/12/25 17:44:50.735,271.02,271.01,271.72,270.86,269.77,265.96,268.98
73,2024/12/25 17:44:52.502,271.23,271.12,271.84,271.92,270.68,267.18,270.21
74,2024/12/25 17:44:54.269,271.32,271.28,271.99,272.45,271.12,268.35,271.07
75,2024/12/25 17:44:56.037,271.38,271.49,272.14,272.58,271.18,269.46,271.38
76,2024/12/25 17:44:57.805,271.32,271.71,272.31,272.52,271.07,270.31,271.39
77,2024/12/25 17:44:59.572,271.28,271.86,272.53,272.47,270.88,270.88,271.25
78,2024/12/25 17:45:01.339,271.14,271.94,272.72,272.48,270.86,270.95,271.17
79,2024/12/25 17:45:03.106,271.03,272.01,272.81,272.62,270.96,270.78,271.20
80,2024/12/25 17:45:04.874,270.98,272.01,272.89,272.71,271.02,270.54,271.28
81,2024/12/25 17:45:06.642,270.98,271.98,272.86,272.84,271.12,270.31,271.29
82,2024/12/25 17:45:08.409,270.97,272.01,272.86,272.91,271.21,270.25,271.32
83,2024/12/25 17:45:10.161,271.06,272.04,272.82,272.95,271.26,270.27,271.39
84,2024/12/25 17:45:11.929,271.10,272.05,272.76,272.97,271.28,270.35,271.48
85,2024/12/25 17:45:13.695,271.18,272.04,272.67,273.04,271.32,270.50,271.56
86,2024/12/25 17:45:15.462,271.17,272.06,272.69,273.12,271.36,270.66,271.68
87,2024/12/25 17:45:17.229,271.25,272.07,272.81,273.15,271.40,270.79,271.70
88,2024/12/25 17:45:18.996,271.21,272.07,272.88,273.24,271.45,270.80,271.68
89,2024/12/25 17:45:20.763,271.18,272.07,272.95,273.19,271.45,270.86,271.61
90,2024/12/25 17:45:22.531,271.08,272.10,272.97,273.19,271.49,270.91,271.65
91,2024/12/25 17:45:24.299,270.99,272.12,272.88,273.15,271.55,270.94,271.69
92,2024/12/25 17:45:26.068,270.89,272.08,272.84,273.21,271.49,270.96,271.72
93,2024/12/25 17:45:27.835,270.92,272.01,272.87,273.34,271.52,270.98,271.77
94,2024/12/25 17:45:29.588,271.04,272.03,272.89,273.44,271.54,271.03,271.82
95,2024/12/25 17:45:31.355,271.22,272.05,272.92,273.46,271.55,271.06,271.88
96,2024/12/25 17:45:33.126,271.33,272.06,272.95,273.54,271.60,271.14,271.96
97,2024/12/25 17:45:34.889,271.36,272.16,272.98,273.57,271.67,271.19,271.94
98,2024/12/25 17:45:36.655,271.28,272.22,273.02,273.59,271.74,271.26,271.96
99,2024/12/25 17:45:38.423,271.13,272.24,273.04,273.59,271.78,271.28,271.99
100,2024/12/25 17:45:40.191,271.06,272.26,273.09,273.62,271.80,271.32,271.97
101,2024/12/25 17:45:41.958,271.02,272.18,273.12,273.60,271.83,271.33,272.03
102,2024/12/25 17:45:43.726,271.00,272.15,273.07,273.58,271.85,271.35,272.05
103,2024/12/25 17:45:45.493,271.01,272.23,273.02,273.60,271.86,271.33,272.07
104,2024/12/25 17:45:47.260,270.92,272.25,272.92,273.53,271.82,271.36,272.03
105,2024/12/25 17:45:49.013,271.00,272.20,272.98,273.63,271.83,271.44,272.03
106,2024/12/25 17:45:50.781,271.21,272.32,273.04,273.76,271.87,271.51,272.14
107,2024/12/25 17:45:52.548,271.34,272.38,273.10,273.85,271.89,271.51,272.17
108,2024/12/25 17:45:54.316,271.32,272.44,273.15,273.90,271.98,271.49,272.23
109,2024/12/25 17:45:56.085,271.26,272.48,273.23,273.88,272.02,271.46,272.28
110,2024/12/25 17:45:57.853,271.25,272.46,273.19,273.85,272.01,271.48,272.32
111,2024/12/25 17:45:59.605,271.24,272.40,273.22,273.78,272.01,271.53,272.35
112,2024/12/25 17:46:01.388,271.20,272.40,273.26,273.80,272.09,271.59,272.33
113,2024/12/25 17:46:03.155,271.17,272.42,273.23,273.79,272.11,271.66,272.32
114,2024/12/25 17:46:04.906,271.16,272.41,273.18,273.82,272.12,271.75,272.33
115,2024/12/25 17:46:06.673,271.21,272.40,273.17,273.87,272.10,271.74,272.34
116,2024/12/25 17:46:08.442,271.26,272.41,273.16,273.95,272.13,271.72,272.35
117,2024/12/25 17:46:10.209,271.23,272.41,273.17,273.94,272.13,271.72,272.35
118,2024/12/25 17:46:11.978,271.25,272.39,273.15,274.03,272.13,271.74,272.41
119,2024/12/25 17:46:13.745,271.22,272.37,273.18,274.03,272.16,271.73,272.34
120,2024/12/25 17:46:15.516,271.25,272.38,273.22,273.99,272.16,271.75,272.36
121,2024/12/25 17:46:17.269,271.26,272.41,273.18,274.02,272.19,271.76,272.37
