POS1_0	POS1_266	POS2_0	POS2_266	POS3_0	POS3_266	POS4_0	POS4_266	POS5_0	POS5_266	POS6_0	POS6_266	POS7_0	POS7_266
-0.28	265.73	2.64	272.04	4.21	275.45		271.42		262.7		274.75	4.15	
-0.27	265.71	2.61	272.05	4.2	275.42		271.42		262.76		274.83	4.12	
-0.28	265.71	2.64	272.01	4.23	275.47				262.69		274.81	4.15	
-0.29	265.7	2.62	272.05	4.2	275.43				262.75		274.75	4.14	
-0.26	265.7	2.64	272.01	4.18	275.45				262.73		274.75	4.16	
-0.28	265.74	2.63	272.06	4.21	275.46				262.74		274.85	4.13	
-0.28	265.74	2.64	272.07	4.21	275.48				262.76		274.8	4.14	
-0.3	265.73	2.62	272.11	4.22	275.46						274.78	4.13	
-0.28	265.71	2.65	272	4.22	275.46						274.81	4.14	
-0.29	265.67		272.08	4.21	275.49						274.75	4.14	
-0.29	265.71		272.01	4.22	275.41						274.77	4.12	
-0.29	265.77		271.97	4.2	275.47							4.13	
-0.25	265.7		272	4.23	275.47							4.15	
-0.27	265.73		272.03	4.2	275.46							4.14	
-0.28	265.71		272.01	4.21	275.5							4.16	
-0.3	265.75		272.01	4.21	275.49							4.12	
-0.3	265.7		272.04		275.48							4.15	
-0.27	265.68		272.03		275.45							4.15	
-0.28			272.05		275.47							4.13	
-0.31			272.04		275.44							4.18	
-0.27			272.05		275.49							4.14	
-0.3			272.02		275.45								
-0.3			271.97		275.46								
-0.28					275.43								
-0.29					275.47								
-0.27					275.43								
-0.29					275.44								
-0.27					275.42								
-0.3					275.51								
-0.31					275.44								
					275.5								
					275.49								
					275.47								
					275.47								
					275.46								
					275.44								
