序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
1,2024/12/25 16:23:01.523,229.13,211.39,211.93,207.10,205.75,204.02,206.20
2,2024/12/25 16:23:03.294,231.10,213.17,213.71,208.74,207.38,205.59,207.89
3,2024/12/25 16:23:05.063,233.07,214.94,215.47,210.34,209.04,207.17,209.49
4,2024/12/25 16:23:06.823,234.97,216.71,217.23,211.95,210.61,208.75,211.08
5,2024/12/25 16:23:08.587,236.91,218.48,219.02,213.51,212.25,210.31,212.67
6,2024/12/25 16:23:10.359,238.82,220.16,220.71,215.12,213.86,211.87,214.27
7,2024/12/25 16:23:12.126,240.66,221.90,222.46,216.68,215.48,213.44,215.85
8,2024/12/25 16:23:13.896,242.56,223.59,224.14,218.27,217.07,214.97,217.44
9,2024/12/25 16:23:15.656,244.38,225.29,225.84,219.83,218.57,216.52,218.95
10,2024/12/25 16:23:17.428,246.26,227.01,227.54,221.41,220.18,218.02,220.51
11,2024/12/25 16:23:19.187,248.09,228.68,229.22,222.97,221.73,219.55,222.04
12,2024/12/25 16:23:20.948,249.92,230.37,230.93,224.52,223.30,221.02,223.61
13,2024/12/25 16:23:22.723,251.73,232.04,232.60,226.04,224.83,222.56,225.18
14,2024/12/25 16:23:24.482,253.58,233.70,234.25,227.56,226.37,224.10,226.67
15,2024/12/25 16:23:26.257,255.37,235.35,235.81,229.03,227.88,225.57,228.19
16,2024/12/25 16:23:28.012,257.09,236.96,237.41,230.61,229.41,227.00,229.65
17,2024/12/25 16:23:29.781,258.85,238.61,239.02,232.05,230.88,228.47,231.18
18,2024/12/25 16:23:31.552,260.56,240.23,240.63,233.54,232.41,229.93,232.64
19,2024/12/25 16:23:33.322,262.23,241.79,242.21,235.00,233.89,231.38,234.10
20,2024/12/25 16:23:35.074,263.95,243.37,243.79,236.50,235.35,232.79,235.55
21,2024/12/25 16:23:36.844,265.68,244.92,245.34,237.92,236.83,234.21,236.96
22,2024/12/25 16:23:38.616,267.27,246.54,246.92,239.32,238.28,235.61,238.40
23,2024/12/25 16:23:40.382,268.89,248.09,248.43,240.74,239.74,237.00,239.82
24,2024/12/25 16:23:42.143,270.19,249.63,249.92,242.21,241.19,238.42,241.24
25,2024/12/25 16:23:43.915,270.71,251.17,251.50,243.65,242.67,239.85,242.68
26,2024/12/25 16:23:45.682,270.43,252.71,252.93,245.04,244.10,241.20,244.10
27,2024/12/25 16:23:47.440,269.64,254.15,254.40,246.52,245.56,242.58,245.55
28,2024/12/25 16:23:49.216,268.70,255.58,255.77,247.89,246.99,243.97,246.93
29,2024/12/25 16:23:50.977,267.92,256.96,257.05,249.28,248.37,245.35,248.29
30,2024/12/25 16:23:52.738,267.47,258.27,258.35,250.68,249.75,246.70,249.65
31,2024/12/25 16:23:54.514,267.45,259.52,259.57,252.08,251.15,248.05,251.01
32,2024/12/25 16:23:56.269,267.77,260.75,260.78,253.44,252.58,249.41,252.37
33,2024/12/25 16:23:58.038,268.38,262.01,262.00,254.78,253.91,250.75,253.71
34,2024/12/25 16:23:59.805,269.12,263.22,263.22,256.06,255.26,252.01,255.03
35,2024/12/25 16:24:01.574,269.68,264.43,264.48,257.40,256.60,253.35,256.37
36,2024/12/25 16:24:03.342,270.19,265.58,265.69,258.73,257.97,254.70,257.61
37,2024/12/25 16:24:05.110,270.53,266.79,266.87,260.06,259.32,255.90,258.97
38,2024/12/25 16:24:06.864,270.67,268.00,268.04,261.36,260.65,257.10,260.30
39,2024/12/25 16:24:08.632,270.71,269.18,269.19,262.66,261.94,258.30,261.56
40,2024/12/25 16:24:10.400,270.63,270.33,270.28,263.93,263.22,259.57,262.77
41,2024/12/25 16:24:12.171,270.60,271.10,271.18,265.24,264.52,260.80,264.07
42,2024/12/25 16:24:13.939,270.67,271.54,271.68,266.54,265.80,261.98,265.35
43,2024/12/25 16:24:15.694,270.67,271.62,272.04,267.69,267.07,263.34,266.59
44,2024/12/25 16:24:17.461,270.79,271.67,272.20,268.99,268.41,264.62,267.83
45,2024/12/25 16:24:19.232,270.92,271.76,272.28,270.20,269.61,265.86,269.06
46,2024/12/25 16:24:21.001,271.09,271.82,272.35,271.33,270.78,266.99,270.38
47,2024/12/25 16:24:22.769,271.29,272.00,272.46,272.26,271.48,268.15,271.28
48,2024/12/25 16:24:24.538,271.42,272.13,272.66,272.78,271.73,269.26,271.74
49,2024/12/25 16:24:26.291,271.49,272.32,272.83,272.95,271.72,270.26,271.86
50,2024/12/25 16:24:28.059,271.55,272.47,273.02,273.03,271.63,270.93,271.75
51,2024/12/25 16:24:29.827,271.47,272.58,273.16,273.03,271.53,271.20,271.69
52,2024/12/25 16:24:31.594,271.42,272.64,273.31,273.09,271.50,271.16,271.61
53,2024/12/25 16:24:33.361,271.32,272.66,273.36,273.12,271.55,271.04,271.62
54,2024/12/25 16:24:35.132,271.25,272.67,273.41,273.10,271.60,270.95,271.66
55,2024/12/25 16:24:36.886,271.20,272.63,273.37,273.15,271.67,270.95,271.72
56,2024/12/25 16:24:38.654,271.18,272.61,273.36,273.25,271.77,270.90,271.81
57,2024/12/25 16:24:40.422,271.16,272.60,273.36,273.39,271.82,270.87,271.89
58,2024/12/25 16:24:42.190,271.21,272.56,273.35,273.45,271.84,270.93,271.94
59,2024/12/25 16:24:43.958,271.27,272.59,273.33,273.47,271.84,270.96,271.97
60,2024/12/25 16:24:45.726,271.30,272.58,273.29,273.49,271.84,271.10,271.93
61,2024/12/25 16:24:47.480,271.26,272.56,273.33,273.51,271.88,271.16,272.01
62,2024/12/25 16:24:49.251,271.15,272.57,273.32,273.53,271.90,271.28,272.03
63,2024/12/25 16:24:51.024,271.13,272.58,273.27,273.51,271.94,271.29,272.03
64,2024/12/25 16:24:52.778,271.17,272.61,273.31,273.52,271.95,271.30,272.06
65,2024/12/25 16:24:54.548,271.25,272.59,273.32,273.53,271.98,271.34,272.09
66,2024/12/25 16:24:56.317,271.36,272.61,273.35,273.60,272.00,271.40,272.12
67,2024/12/25 16:24:58.085,271.41,272.56,273.38,273.62,271.96,271.39,272.15
68,2024/12/25 16:24:59.853,271.43,272.59,273.33,273.70,271.97,271.43,272.19
69,2024/12/25 16:25:01.622,271.45,272.62,273.32,273.74,272.02,271.44,272.21
70,2024/12/25 16:25:03.375,271.39,272.58,273.29,273.73,272.05,271.46,272.20
71,2024/12/25 16:25:05.143,271.35,272.57,273.30,273.72,272.05,271.49,272.16
72,2024/12/25 16:25:06.912,271.22,272.50,273.32,273.74,272.08,271.52,272.15
73,2024/12/25 16:25:08.680,271.20,272.53,273.33,273.78,272.15,271.57,272.17
74,2024/12/25 16:25:10.448,271.17,272.57,273.31,273.80,272.16,271.59,272.24
75,2024/12/25 16:25:12.215,271.17,272.59,273.30,273.80,272.12,271.61,272.29
76,2024/12/25 16:25:13.985,271.21,272.57,273.30,273.82,272.14,271.61,272.25
77,2024/12/25 16:25:15.739,271.26,272.56,273.29,273.82,272.13,271.64,272.33
78,2024/12/25 16:25:17.507,271.24,272.58,273.28,273.88,272.16,271.61,272.28
79,2024/12/25 16:25:19.276,271.27,272.57,273.30,273.87,272.13,271.64,272.26
80,2024/12/25 16:25:21.045,271.30,272.57,273.36,273.89,272.12,271.70,272.32
81,2024/12/25 16:25:22.813,271.28,272.62,273.34,273.93,272.15,271.73,272.34
82,2024/12/25 16:25:24.567,271.25,272.63,273.31,273.94,272.17,271.72,272.34
83,2024/12/25 16:25:26.336,271.28,272.60,273.31,273.97,272.19,271.76,272.38
84,2024/12/25 16:25:28.104,271.26,272.56,273.34,273.99,272.20,271.78,272.36
85,2024/12/25 16:25:29.873,271.27,272.53,273.34,274.02,272.25,271.75,272.42
86,2024/12/25 16:25:31.642,271.29,272.57,273.35,274.03,272.28,271.77,272.46
87,2024/12/25 16:25:33.396,271.26,272.59,273.33,273.97,272.23,271.77,272.48
88,2024/12/25 16:25:35.164,271.28,272.56,273.36,273.96,272.23,271.80,272.45
89,2024/12/25 16:25:36.934,271.29,272.56,273.37,274.02,272.24,271.78,272.41
90,2024/12/25 16:25:38.702,271.29,272.56,273.35,274.03,272.26,271.81,272.42
91,2024/12/25 16:25:40.470,271.29,272.56,273.34,274.02,272.31,271.85,272.45
92,2024/12/25 16:25:42.240,271.24,272.60,273.34,274.04,272.27,271.92,272.47
93,2024/12/25 16:25:43.993,271.25,272.55,273.33,274.04,272.32,271.92,272.49
94,2024/12/25 16:25:45.762,271.28,272.56,273.33,274.05,272.34,271.90,272.47
95,2024/12/25 16:25:47.529,271.29,272.62,273.33,274.08,272.31,271.93,272.53
