序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
71,2025/01/15 14:19:59.551,253.79,252.57,252.84,247.77,247.85,246.13,248.57
72,2025/01/15 14:20:01.320,253.41,252.11,252.35,247.27,247.40,245.66,248.12
73,2025/01/15 14:20:03.089,253.03,251.67,251.89,246.82,246.98,245.18,247.65
74,2025/01/15 14:20:04.857,252.57,251.18,251.48,246.36,246.56,244.73,247.22
75,2025/01/15 14:20:06.626,252.19,250.77,250.97,245.91,246.12,244.26,246.75
76,2025/01/15 14:20:08.393,251.80,250.34,250.54,245.49,245.65,243.83,246.29
77,2025/01/15 14:20:10.162,251.36,249.88,250.12,245.04,245.22,243.38,245.84
78,2025/01/15 14:20:11.917,251.00,249.44,249.66,244.58,244.76,242.91,245.41
79,2025/01/15 14:20:13.686,250.59,249.02,249.23,244.14,244.31,242.49,245.00
80,2025/01/15 14:20:15.453,250.20,248.57,248.76,243.69,243.92,242.02,244.59
81,2025/01/15 14:20:17.221,249.81,248.15,248.35,243.23,243.44,241.59,244.16
82,2025/01/15 14:20:18.989,249.41,247.71,247.91,242.76,243.06,241.14,243.73
83,2025/01/15 14:20:20.756,249.01,247.28,247.47,242.35,242.63,240.69,243.31
84,2025/01/15 14:20:22.511,248.56,246.85,247.04,241.92,242.17,240.28,242.89
85,2025/01/15 14:20:24.279,248.18,246.42,246.57,241.45,241.74,239.80,242.49
86,2025/01/15 14:20:26.047,247.75,246.00,246.12,241.06,241.31,239.37,242.03
87,2025/01/15 14:20:27.814,247.37,245.56,245.67,240.64,240.88,238.95,241.58
88,2025/01/15 14:20:29.582,246.93,245.12,245.27,240.22,240.44,238.50,241.22
89,2025/01/15 14:20:31.348,246.54,244.71,244.82,239.79,240.02,238.09,240.78
90,2025/01/15 14:20:33.117,246.14,244.28,244.43,239.36,239.64,237.64,240.38
91,2025/01/15 14:20:34.871,245.75,243.87,244.01,238.93,239.21,237.22,239.97
92,2025/01/15 14:20:36.639,245.38,243.47,243.58,238.55,238.82,236.84,239.59
93,2025/01/15 14:20:38.407,244.93,243.05,243.15,238.11,238.43,236.43,239.18
94,2025/01/15 14:20:40.176,244.53,242.63,242.69,237.70,238.01,235.99,238.78
95,2025/01/15 14:20:41.946,244.15,242.22,242.31,237.28,237.61,235.59,238.34
96,2025/01/15 14:20:43.714,243.78,241.79,241.90,236.88,237.21,235.15,237.96
97,2025/01/15 14:20:45.481,243.37,241.37,241.46,236.49,236.81,234.75,237.58
98,2025/01/15 14:20:47.235,242.99,240.98,241.06,236.05,236.44,234.38,237.19
99,2025/01/15 14:20:49.005,242.59,240.55,240.67,235.68,236.06,233.96,236.81
100,2025/01/15 14:20:50.772,242.21,240.17,240.22,235.30,235.66,233.58,236.41
101,2025/01/15 14:20:52.539,241.80,239.74,239.83,234.83,235.29,233.17,236.04
102,2025/01/15 14:20:54.307,241.36,239.34,239.46,234.47,234.94,232.78,235.64
103,2025/01/15 14:20:56.075,240.98,238.95,239.03,234.10,234.53,232.40,235.24
104,2025/01/15 14:20:57.828,240.63,238.60,238.62,233.69,234.15,232.03,234.85
105,2025/01/15 14:20:59.596,240.23,238.17,238.24,233.35,233.75,231.62,234.54
106,2025/01/15 14:21:01.366,239.87,237.72,237.88,232.93,233.37,231.25,234.15
107,2025/01/15 14:21:03.135,239.49,237.40,237.43,232.57,233.01,230.88,233.74
108,2025/01/15 14:21:04.887,239.06,236.98,237.05,232.19,232.63,230.50,233.36
109,2025/01/15 14:21:06.671,238.70,236.60,236.67,231.80,232.23,230.08,233.01
110,2025/01/15 14:21:08.424,238.24,236.21,236.23,231.44,231.87,229.72,232.66
111,2025/01/15 14:21:10.192,237.87,235.85,235.85,231.09,231.48,229.35,232.25
112,2025/01/15 14:21:11.959,237.50,235.48,235.46,230.66,231.09,228.96,231.92
113,2025/01/15 14:21:13.726,237.16,235.09,235.07,230.28,230.72,228.57,231.53
114,2025/01/15 14:21:15.495,236.77,234.72,234.72,229.88,230.39,228.16,231.14
115,2025/01/15 14:21:17.263,236.35,234.30,234.33,229.47,230.02,227.83,230.79
116,2025/01/15 14:21:19.030,236.00,233.90,233.94,229.12,229.65,227.50,230.41
117,2025/01/15 14:21:20.798,235.62,233.57,233.58,228.78,229.29,227.13,230.05
118,2025/01/15 14:21:22.566,235.23,233.20,233.15,228.46,228.91,226.78,229.71
119,2025/01/15 14:21:24.318,234.89,232.76,232.77,228.08,228.57,226.42,229.35
120,2025/01/15 14:21:26.085,234.49,232.43,232.38,227.75,228.23,226.05,228.98
121,2025/01/15 14:21:27.854,234.12,232.03,232.04,227.34,227.88,225.72,228.63
122,2025/01/15 14:21:29.621,233.70,231.66,231.63,226.98,227.55,225.36,228.28
123,2025/01/15 14:21:31.390,233.31,231.30,231.26,226.61,227.21,225.00,227.92
124,2025/01/15 14:21:33.157,232.92,230.95,230.88,226.27,226.84,224.63,227.60
125,2025/01/15 14:21:34.924,232.57,230.57,230.51,225.92,226.47,224.26,227.23
126,2025/01/15 14:21:36.693,232.23,230.15,230.15,225.56,226.10,223.93,226.89
127,2025/01/15 14:21:38.446,231.87,229.80,229.81,225.21,225.76,223.55,226.54
128,2025/01/15 14:21:40.214,231.53,229.47,229.45,224.89,225.37,223.20,226.19
129,2025/01/15 14:21:41.982,231.15,229.05,229.07,224.50,225.03,222.89,225.86
130,2025/01/15 14:21:43.749,230.76,228.78,228.71,224.18,224.70,222.55,225.53
131,2025/01/15 14:21:45.518,230.38,228.39,228.36,223.81,224.37,222.18,225.12
132,2025/01/15 14:21:47.284,230.01,228.02,227.99,223.49,224.03,221.83,224.82
133,2025/01/15 14:21:49.037,229.65,227.66,227.66,223.14,223.70,221.51,224.45
134,2025/01/15 14:21:50.821,229.29,227.29,227.24,222.82,223.37,221.20,224.13
135,2025/01/15 14:21:52.573,228.93,226.94,226.90,222.47,223.03,220.84,223.77
136,2025/01/15 14:21:54.341,228.57,226.60,226.55,222.13,222.66,220.46,223.44
137,2025/01/15 14:21:56.110,228.20,226.21,226.20,221.78,222.35,220.16,223.10
138,2025/01/15 14:21:57.881,227.85,225.83,225.82,221.45,222.00,219.83,222.79
139,2025/01/15 14:21:59.634,227.47,225.50,225.45,221.14,221.69,219.51,222.44
140,2025/01/15 14:22:01.403,227.11,225.17,225.10,220.82,221.31,219.18,222.08
141,2025/01/15 14:22:03.171,226.76,224.82,224.78,220.51,221.01,218.87,221.77
142,2025/01/15 14:22:04.941,226.39,224.47,224.46,220.19,220.70,218.56,221.46
143,2025/01/15 14:22:06.709,226.08,224.11,224.10,219.82,220.34,218.21,221.17
144,2025/01/15 14:22:08.479,225.77,223.80,223.74,219.49,220.01,217.93,220.82
145,2025/01/15 14:22:10.246,225.43,223.44,223.42,219.19,219.64,217.57,220.50
146,2025/01/15 14:22:12.013,225.11,223.09,223.08,218.84,219.35,217.27,220.19
147,2025/01/15 14:22:13.765,224.76,222.74,222.72,218.54,218.98,216.95,219.86
148,2025/01/15 14:22:15.533,224.39,222.43,222.37,218.21,218.68,216.66,219.52
149,2025/01/15 14:22:17.302,224.03,222.11,222.03,217.90,218.40,216.35,219.21
150,2025/01/15 14:22:19.071,223.73,221.75,221.68,217.56,218.08,216.01,218.87
151,2025/01/15 14:22:20.840,223.38,221.39,221.37,217.26,217.76,215.71,218.56
152,2025/01/15 14:22:22.607,223.01,221.06,221.03,216.95,217.44,215.41,218.29
153,2025/01/15 14:22:24.360,222.65,220.74,220.71,216.66,217.13,215.09,217.96
154,2025/01/15 14:22:26.128,222.42,220.40,220.36,216.32,216.79,214.79,217.61
155,2025/01/15 14:22:27.897,222.05,220.10,220.05,216.01,216.47,214.47,217.34
156,2025/01/15 14:22:29.664,221.68,219.77,219.71,215.67,216.18,214.17,217.03
157,2025/01/15 14:22:31.433,221.36,219.44,219.38,215.39,215.89,213.84,216.71
158,2025/01/15 14:22:33.202,221.01,219.09,219.06,215.07,215.58,213.55,216.39
159,2025/01/15 14:22:34.970,220.66,218.77,218.74,214.77,215.23,213.25,216.10
160,2025/01/15 14:22:36.724,220.33,218.45,218.43,214.45,214.92,212.96,215.78
161,2025/01/15 14:22:38.493,220.01,218.12,218.09,214.14,214.66,212.64,215.50
162,2025/01/15 14:22:40.262,219.71,217.84,217.74,213.84,214.35,212.30,215.19
163,2025/01/15 14:22:42.031,219.32,217.50,217.43,213.53,214.07,212.04,214.85
164,2025/01/15 14:22:43.798,219.02,217.22,217.12,213.27,213.76,211.72,214.55
165,2025/01/15 14:22:45.553,218.69,216.92,216.80,212.94,213.48,211.44,214.25
166,2025/01/15 14:22:47.321,218.36,216.56,216.51,212.62,213.19,211.17,213.93
167,2025/01/15 14:22:49.090,218.07,216.22,216.19,212.36,212.87,210.85,213.66
168,2025/01/15 14:22:50.857,217.77,215.92,215.85,212.04,212.57,210.55,213.34
169,2025/01/15 14:22:52.627,217.40,215.60,215.55,211.72,212.28,210.24,213.07
170,2025/01/15 14:22:54.396,217.05,215.22,215.23,211.36,211.92,209.97,212.77
171,2025/01/15 14:22:56.163,216.67,214.88,214.91,211.13,211.58,209.71,212.45
172,2025/01/15 14:22:57.916,216.31,214.62,214.61,210.82,211.33,209.40,212.18
173,2025/01/15 14:22:59.685,216.00,214.32,214.31,210.57,211.04,209.13,211.89
174,2025/01/15 14:23:01.453,215.69,214.02,214.01,210.29,210.78,208.81,211.61
175,2025/01/15 14:23:03.222,215.40,213.75,213.71,210.01,210.46,208.50,211.32
176,2025/01/15 14:23:04.990,215.10,213.42,213.37,209.74,210.18,208.25,211.00
177,2025/01/15 14:23:06.758,214.82,213.12,213.08,209.41,209.86,207.93,210.66
178,2025/01/15 14:23:08.510,214.55,212.81,212.78,209.14,209.59,207.64,210.42
179,2025/01/15 14:23:10.278,214.29,212.48,212.49,208.85,209.32,207.39,210.15
180,2025/01/15 14:23:12.047,213.96,212.18,212.20,208.59,209.05,207.13,209.83
181,2025/01/15 14:23:13.816,213.67,211.86,211.91,208.24,208.74,206.84,209.54
182,2025/01/15 14:23:15.585,213.36,211.57,211.58,207.99,208.45,206.56,209.28
183,2025/01/15 14:23:17.353,213.06,211.26,211.32,207.71,208.18,206.26,209.01
184,2025/01/15 14:23:19.107,212.73,210.97,211.01,207.43,207.93,206.00,208.72
185,2025/01/15 14:23:20.874,212.43,210.71,210.74,207.14,207.63,205.70,208.41
186,2025/01/15 14:23:22.642,212.12,210.41,210.43,206.88,207.35,205.41,208.12
187,2025/01/15 14:23:24.413,211.84,210.10,210.09,206.59,207.08,205.13,207.85
188,2025/01/15 14:23:26.183,211.52,209.83,209.85,206.32,206.76,204.88,207.60
189,2025/01/15 14:23:27.950,211.21,209.52,209.56,206.03,206.48,204.62,207.30
190,2025/01/15 14:23:29.704,210.90,209.22,209.28,205.74,206.21,204.33,207.02
191,2025/01/15 14:23:31.472,210.61,208.94,208.94,205.48,205.93,204.08,206.73
192,2025/01/15 14:23:33.240,210.28,208.64,208.67,205.17,205.65,203.79,206.48
193,2025/01/15 14:23:35.008,209.97,208.37,208.37,204.92,205.43,203.58,206.19
194,2025/01/15 14:23:36.778,209.72,208.07,208.09,204.67,205.10,203.32,205.91
195,2025/01/15 14:23:38.546,209.45,207.82,207.82,204.35,204.80,203.02,205.66
196,2025/01/15 14:23:40.302,209.15,207.49,207.52,204.10,204.55,202.79,205.43
197,2025/01/15 14:23:42.070,208.90,207.20,207.23,203.84,204.29,202.51,205.12
198,2025/01/15 14:23:43.837,208.61,206.94,206.96,203.53,204.05,202.22,204.85
199,2025/01/15 14:23:45.607,208.29,206.68,206.67,203.29,203.76,201.97,204.58
200,2025/01/15 14:23:47.375,208.00,206.40,206.35,202.99,203.49,201.68,204.27
201,2025/01/15 14:23:49.141,207.70,206.14,206.11,202.74,203.23,201.43,204.06
202,2025/01/15 14:23:50.893,207.40,205.83,205.80,202.51,202.98,201.15,203.75
203,2025/01/15 14:23:52.660,207.10,205.58,205.53,202.22,202.71,200.88,203.48
204,2025/01/15 14:23:54.427,206.82,205.29,205.29,201.98,202.44,200.63,203.21
205,2025/01/15 14:23:56.197,206.51,205.04,205.01,201.71,202.19,200.38,203.00
206,2025/01/15 14:23:57.965,206.20,204.70,204.68,201.44,201.93,200.11,202.70
207,2025/01/15 14:23:59.732,205.90,204.43,204.44,201.20,201.65,199.83,202.43
208,2025/01/15 14:24:01.500,205.63,204.18,204.16,200.92,201.40,199.58,202.15
209,2025/01/15 14:24:03.269,205.36,203.90,203.89,200.69,201.16,199.35,201.92
210,2025/01/15 14:24:05.022,205.10,203.62,203.62,200.45,200.91,199.08,201.63
211,2025/01/15 14:24:06.790,204.85,203.39,203.38,200.18,200.62,198.84,201.37
212,2025/01/15 14:24:08.558,204.55,203.10,203.06,199.91,200.33,198.57,201.13
213,2025/01/15 14:24:10.326,204.30,202.82,202.80,199.64,200.10,198.33,200.87
214,2025/01/15 14:24:12.096,204.04,202.56,202.53,199.40,199.86,198.12,200.62
215,2025/01/15 14:24:13.864,203.76,202.29,202.28,199.14,199.60,197.88,200.36
216,2025/01/15 14:24:15.618,203.48,201.97,202.03,198.87,199.32,197.59,200.08
217,2025/01/15 14:24:17.387,203.16,201.69,201.76,198.59,199.06,197.36,199.83
218,2025/01/15 14:24:19.154,202.95,201.48,201.51,198.35,198.83,197.09,199.57
219,2025/01/15 14:24:20.922,202.65,201.20,201.21,198.13,198.57,196.86,199.30
220,2025/01/15 14:24:22.692,202.42,200.93,200.95,197.87,198.35,196.61,199.07
221,2025/01/15 14:24:24.460,202.15,200.67,200.71,197.60,198.09,196.36,198.84
