序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
212375,2025/01/06 22:30:05.940,271.27,272.49,273.31,274.27,272.49,272.17,272.70
212376,2025/01/06 22:30:07.707,271.23,272.43,273.26,274.28,272.50,272.21,272.71
212377,2025/01/06 22:30:09.459,271.18,272.43,273.25,274.28,272.48,272.19,272.72
212378,2025/01/06 22:30:11.226,271.17,272.45,273.27,274.32,272.45,272.21,272.73
212379,2025/01/06 22:30:12.978,271.25,272.51,273.26,274.30,272.45,272.24,272.68
212380,2025/01/06 22:30:14.745,271.31,272.53,273.27,274.29,272.45,272.22,272.73
212381,2025/01/06 22:30:16.496,271.35,272.54,273.31,274.29,272.44,272.17,272.70
212382,2025/01/06 22:30:18.263,271.34,272.54,273.35,274.29,272.52,272.15,272.69
212383,2025/01/06 22:30:20.015,271.35,272.49,273.33,274.29,272.50,272.13,272.66
212384,2025/01/06 22:30:21.784,271.35,272.51,273.35,274.31,272.51,272.15,272.66
212385,2025/01/06 22:30:23.533,271.30,272.52,273.33,274.29,272.50,272.14,272.65
212386,2025/01/06 22:30:25.300,271.26,272.44,273.30,274.34,272.45,272.14,272.71
212387,2025/01/06 22:30:27.066,271.24,272.45,273.29,274.33,272.46,272.15,272.71
212388,2025/01/06 22:30:28.818,271.20,272.42,273.29,274.32,272.46,272.13,272.75
212389,2025/01/06 22:30:30.585,271.24,272.45,273.35,274.29,272.50,272.19,272.70
212390,2025/01/06 22:30:32.337,271.28,272.46,273.34,274.30,272.51,272.19,272.72
212391,2025/01/06 22:30:34.104,271.32,272.46,273.32,274.28,272.49,272.20,272.70
212392,2025/01/06 22:30:35.855,271.31,272.48,273.27,274.28,272.54,272.25,272.68
212393,2025/01/06 22:30:37.622,271.35,272.53,273.28,274.33,272.58,272.18,272.66
212394,2025/01/06 22:30:39.373,271.33,272.52,273.27,274.27,272.57,272.20,272.68
212395,2025/01/06 22:30:41.141,271.38,272.55,273.31,274.29,272.54,272.17,272.69
212396,2025/01/06 22:30:42.893,271.37,272.54,273.28,274.29,272.55,272.18,272.66
212397,2025/01/06 22:30:44.660,271.37,272.49,273.27,274.31,272.52,272.21,272.64
212398,2025/01/06 22:30:46.411,271.27,272.49,273.31,274.32,272.50,272.20,272.70
212399,2025/01/06 22:30:48.178,271.18,272.46,273.30,274.32,272.47,272.20,272.71
212400,2025/01/06 22:30:49.914,271.19,272.44,273.30,274.29,272.54,272.22,272.71
212401,2025/01/06 22:30:51.681,271.16,272.45,273.32,274.29,272.55,272.26,272.72
212402,2025/01/06 22:30:53.433,271.15,272.47,273.31,274.29,272.55,272.23,272.76
212403,2025/01/06 22:30:55.199,271.17,272.51,273.28,274.24,272.44,272.19,272.75
212404,2025/01/06 22:30:56.951,271.23,272.48,273.30,274.28,272.49,272.20,272.69
212405,2025/01/06 22:30:58.717,271.33,272.49,273.26,274.30,272.48,272.21,272.68
212406,2025/01/06 22:31:00.470,271.35,272.51,273.28,274.36,272.48,272.26,272.64
212407,2025/01/06 22:31:02.238,271.42,272.52,273.24,274.36,272.41,272.19,272.65
212408,2025/01/06 22:31:03.988,271.40,272.50,273.28,274.31,272.43,272.20,272.69
212409,2025/01/06 22:31:05.754,271.40,272.50,273.25,274.28,272.50,272.17,272.70
212410,2025/01/06 22:31:07.506,271.34,272.48,273.28,274.32,272.57,272.18,272.65
212411,2025/01/06 22:31:09.273,271.28,272.50,273.24,274.29,272.59,272.20,272.68
212412,2025/01/06 22:31:11.025,271.24,272.49,273.23,274.31,272.55,272.14,272.72
212413,2025/01/06 22:31:12.791,271.21,272.45,273.30,274.32,272.55,272.15,272.74
212414,2025/01/06 22:31:14.543,271.25,272.49,273.30,274.35,272.50,272.19,272.70
212415,2025/01/06 22:31:16.310,271.27,272.49,273.31,274.35,272.53,272.20,272.69
212416,2025/01/06 22:31:18.061,271.28,272.50,273.36,274.29,272.49,272.23,272.66
212417,2025/01/06 22:31:19.831,271.30,272.50,273.37,274.31,272.47,272.20,272.67
212418,2025/01/06 22:31:21.584,271.29,272.48,273.35,274.32,272.51,272.20,272.69
212419,2025/01/06 22:31:23.351,271.32,272.53,273.33,274.30,272.53,272.21,272.70
212420,2025/01/06 22:31:25.104,271.30,272.50,273.30,274.25,272.54,272.22,272.71
212421,2025/01/06 22:31:26.872,271.31,272.52,273.28,274.22,272.47,272.22,272.72
212422,2025/01/06 22:31:28.624,271.31,272.50,273.31,274.26,272.46,272.22,272.72
212423,2025/01/06 22:31:30.385,271.32,272.50,273.30,274.28,272.49,272.16,272.73
212424,2025/01/06 22:31:32.143,271.33,272.49,273.27,274.32,272.52,272.17,272.72
212425,2025/01/06 22:31:33.895,271.29,272.50,273.26,274.34,272.46,272.20,272.65
212426,2025/01/06 22:31:35.662,271.24,272.52,273.24,274.30,272.50,272.19,272.65
212427,2025/01/06 22:31:37.414,271.24,272.51,273.26,274.28,272.50,272.17,272.61
212428,2025/01/06 22:31:39.183,271.27,272.56,273.28,274.29,272.50,272.19,272.66
212429,2025/01/06 22:31:40.934,271.28,272.53,273.30,274.33,272.54,272.21,272.71
212430,2025/01/06 22:31:42.702,271.29,272.52,273.29,274.35,272.49,272.20,272.70
212431,2025/01/06 22:31:44.455,271.30,272.53,273.25,274.34,272.44,272.20,272.67
212432,2025/01/06 22:31:46.221,271.36,272.48,273.29,274.35,272.43,272.22,272.71
212433,2025/01/06 22:31:47.975,271.31,272.50,273.30,274.31,272.43,272.17,272.65
212434,2025/01/06 22:31:49.741,271.32,272.51,273.31,274.31,272.48,272.18,272.75
212435,2025/01/06 22:31:51.492,271.28,272.54,273.34,274.26,272.50,272.20,272.77
212436,2025/01/06 22:31:53.260,271.31,272.54,273.32,274.28,272.54,272.23,272.72
212437,2025/01/06 22:31:54.995,271.33,272.54,273.27,274.34,272.56,272.25,272.71
212438,2025/01/06 22:31:56.761,271.30,272.51,273.29,274.31,272.56,272.21,272.68
212439,2025/01/06 22:31:58.513,271.22,272.56,273.30,274.27,272.54,272.18,272.64
212440,2025/01/06 22:32:00.280,271.20,272.54,273.31,274.30,272.50,272.17,272.63
212441,2025/01/06 22:32:02.033,271.26,272.52,273.32,274.26,272.49,272.21,272.71
212442,2025/01/06 22:32:03.802,271.27,272.49,273.30,274.25,272.48,272.25,272.73
212443,2025/01/06 22:32:05.553,271.33,272.46,273.32,274.27,272.50,272.23,272.71
212444,2025/01/06 22:32:07.321,271.35,272.43,273.35,274.30,272.50,272.19,272.71
212445,2025/01/06 22:32:09.088,271.38,272.45,273.29,274.30,272.49,272.20,272.76
212446,2025/01/06 22:32:10.823,271.36,272.45,273.33,274.32,272.51,272.19,272.74
212447,2025/01/06 22:32:12.591,271.29,272.44,273.35,274.32,272.51,272.23,272.73
212448,2025/01/06 22:32:14.341,271.24,272.46,273.33,274.33,272.52,272.24,272.69
212449,2025/01/06 22:32:16.107,271.13,272.47,273.30,274.30,272.52,272.26,272.72
212450,2025/01/06 22:32:17.861,271.11,272.51,273.29,274.30,272.47,272.26,272.70
212451,2025/01/06 22:32:19.628,271.16,272.54,273.29,274.31,272.45,272.27,272.65
212452,2025/01/06 22:32:21.381,271.32,272.53,273.28,274.35,272.47,272.18,272.63
212453,2025/01/06 22:32:23.150,271.38,272.55,273.28,274.34,272.43,272.13,272.66
212454,2025/01/06 22:32:24.902,271.40,272.53,273.30,274.29,272.49,272.11,272.70
212455,2025/01/06 22:32:26.671,271.38,272.48,273.31,274.27,272.52,272.16,272.71
212456,2025/01/06 22:32:28.422,271.37,272.50,273.31,274.27,272.54,272.18,272.67
212457,2025/01/06 22:32:30.190,271.37,272.49,273.28,274.25,272.52,272.17,272.75
212458,2025/01/06 22:32:31.943,271.32,272.47,273.24,274.26,272.56,272.21,272.73
212459,2025/01/06 22:32:33.696,271.26,272.43,273.22,274.28,272.52,272.22,272.74
212460,2025/01/06 22:32:35.462,271.21,272.41,273.28,274.27,272.49,272.21,272.70
212461,2025/01/06 22:32:37.214,271.23,272.44,273.25,274.24,272.42,272.15,272.67
212462,2025/01/06 22:32:38.982,271.25,272.51,273.22,274.29,272.45,272.13,272.72
212463,2025/01/06 22:32:40.736,271.29,272.54,273.24,274.34,272.46,272.18,272.69
212464,2025/01/06 22:32:42.503,271.40,272.59,273.27,274.39,272.52,272.18,272.75
212465,2025/01/06 22:32:44.254,271.45,272.56,273.33,274.35,272.56,272.19,272.74
212466,2025/01/06 22:32:46.023,271.43,272.55,273.37,274.34,272.56,272.23,272.72
212467,2025/01/06 22:32:47.773,271.42,272.55,273.35,274.34,272.53,272.22,272.74
212468,2025/01/06 22:32:49.539,271.41,272.53,273.36,274.30,272.52,272.26,272.74
212469,2025/01/06 22:32:51.305,271.37,272.49,273.37,274.26,272.52,272.25,272.69
212470,2025/01/06 22:32:53.060,271.34,272.46,273.31,274.23,272.45,272.21,272.67
212471,2025/01/06 22:32:54.810,271.24,272.48,273.33,274.27,272.48,272.19,272.66
212472,2025/01/06 22:32:56.563,271.18,272.48,273.31,274.33,272.48,272.22,272.71
212473,2025/01/06 22:32:58.329,271.19,272.49,273.30,274.29,272.49,272.23,272.72
212474,2025/01/06 22:33:00.080,271.20,272.48,273.30,274.28,272.51,272.24,272.72
212475,2025/01/06 22:33:01.849,271.25,272.46,273.33,274.33,272.52,272.19,272.73
212476,2025/01/06 22:33:03.602,271.27,272.48,273.34,274.35,272.49,272.15,272.76
212477,2025/01/06 22:33:05.353,271.33,272.50,273.32,274.38,272.48,272.16,272.73
212478,2025/01/06 22:33:07.120,271.28,272.55,273.30,274.37,272.49,272.16,272.71
212479,2025/01/06 22:33:08.872,271.29,272.54,273.28,274.34,272.49,272.21,272.66
212480,2025/01/06 22:33:10.638,271.34,272.50,273.30,274.24,272.47,272.19,272.70
212481,2025/01/06 22:33:12.405,271.34,272.51,273.33,274.25,272.50,272.20,272.71
212482,2025/01/06 22:33:14.156,271.36,272.46,273.31,274.22,272.49,272.22,272.69
212483,2025/01/06 22:33:15.925,271.38,272.46,273.30,274.21,272.49,272.24,272.72
212484,2025/01/06 22:33:17.677,271.30,272.52,273.26,274.25,272.45,272.24,272.73
212485,2025/01/06 22:33:19.442,271.25,272.53,273.29,274.25,272.48,272.24,272.70
212486,2025/01/06 22:33:21.193,271.24,272.51,273.27,274.34,272.53,272.23,272.70
212487,2025/01/06 22:33:22.960,271.27,272.53,273.27,274.36,272.51,272.23,272.71
212488,2025/01/06 22:33:24.710,271.30,272.55,273.26,274.32,272.47,272.24,272.70
212489,2025/01/06 22:33:26.477,271.31,272.53,273.22,274.25,272.50,272.23,272.70
212490,2025/01/06 22:33:28.228,271.32,272.47,273.22,274.29,272.49,272.22,272.66
212491,2025/01/06 22:33:29.995,271.34,272.47,273.24,274.35,272.46,272.18,272.69
212492,2025/01/06 22:33:31.746,271.41,272.47,273.29,274.36,272.42,272.18,272.67
212493,2025/01/06 22:33:33.515,271.37,272.54,273.30,274.36,272.44,272.19,272.68
212494,2025/01/06 22:33:35.267,271.35,272.57,273.34,274.35,272.48,272.19,272.72
212495,2025/01/06 22:33:37.034,271.28,272.50,273.29,274.30,272.50,272.20,272.69
212496,2025/01/06 22:33:38.785,271.25,272.47,273.29,274.27,272.52,272.19,272.70
212497,2025/01/06 22:33:40.552,271.19,272.49,273.28,274.29,272.58,272.15,272.74
212498,2025/01/06 22:33:42.305,271.19,272.51,273.29,274.27,272.55,272.16,272.71
212499,2025/01/06 22:33:44.071,271.19,272.52,273.25,274.27,272.50,272.21,272.72
212500,2025/01/06 22:33:45.823,271.29,272.48,273.28,274.25,272.52,272.19,272.72
