序号,时间,温度CH1,温度CH2,温度CH3,温度CH4,温度CH5,温度CH6,温度CH7
1,2025/01/22 16:22:26.616,151.00,151.16,151.24,151.73,151.20,149.96,151.35
2,2025/01/22 16:22:28.363,151.00,151.16,151.26,151.72,151.24,150.03,151.32
3,2025/01/22 16:22:30.132,150.99,151.11,151.25,151.70,151.17,150.02,151.34
4,2025/01/22 16:22:31.886,150.97,151.15,151.22,151.70,151.12,150.01,151.34
5,2025/01/22 16:22:33.638,150.98,151.15,151.20,151.68,151.13,150.02,151.34
6,2025/01/22 16:22:35.394,150.96,151.18,151.17,151.67,151.15,150.02,151.32
7,2025/01/22 16:22:37.163,150.95,151.16,151.19,151.68,151.16,149.99,151.35
8,2025/01/22 16:22:38.918,150.95,151.15,151.20,151.66,151.15,149.98,151.34
9,2025/01/22 16:22:40.669,150.99,151.12,151.20,151.66,151.15,149.97,151.33
10,2025/01/22 16:22:42.439,151.00,151.09,151.20,151.62,151.12,149.97,151.30
11,2025/01/22 16:22:44.192,151.00,151.08,151.18,151.67,151.12,149.94,151.26
12,2025/01/22 16:22:45.945,151.00,151.08,151.19,151.67,151.14,149.94,151.28
13,2025/01/22 16:22:47.713,150.98,151.10,151.16,151.61,151.12,149.99,151.26
14,2025/01/22 16:22:49.467,150.95,151.10,151.17,151.57,151.10,149.98,151.25
15,2025/01/22 16:22:51.219,150.96,151.08,151.14,151.61,151.12,149.94,151.28
16,2025/01/22 16:22:52.987,150.94,151.06,151.14,151.61,151.07,149.95,151.26
17,2025/01/22 16:22:54.740,150.93,151.06,151.12,151.54,151.04,149.92,151.26
18,2025/01/22 16:22:56.493,150.92,150.99,151.12,151.59,151.04,149.91,151.27
19,2025/01/22 16:22:58.261,150.92,151.00,151.09,151.62,151.06,149.95,151.24
20,2025/01/22 16:23:00.014,150.92,151.03,151.08,151.57,151.11,149.94,151.22
21,2025/01/22 16:23:01.784,150.94,151.05,151.10,151.54,151.08,149.93,151.22
22,2025/01/22 16:23:03.552,150.90,151.04,151.07,151.56,151.09,149.95,151.24
23,2025/01/22 16:23:05.304,150.91,151.04,151.07,151.60,151.11,149.96,151.24
24,2025/01/22 16:23:07.073,150.89,151.04,151.05,151.57,151.08,149.92,151.24
25,2025/01/22 16:23:08.826,150.88,150.99,151.07,151.59,151.03,149.89,151.27
26,2025/01/22 16:23:10.581,150.88,150.99,151.08,151.57,151.03,149.91,151.23
27,2025/01/22 16:23:12.351,150.90,150.99,151.08,151.54,150.99,149.89,151.20
28,2025/01/22 16:23:14.103,150.92,151.01,151.11,151.60,151.04,149.90,151.25
29,2025/01/22 16:23:15.855,150.95,151.02,151.10,151.55,151.06,149.91,151.25
30,2025/01/22 16:23:17.626,150.94,151.02,151.09,151.53,151.03,149.91,151.26
31,2025/01/22 16:23:19.382,150.92,151.00,151.07,151.52,150.99,149.88,151.23
32,2025/01/22 16:23:21.140,150.91,151.02,151.07,151.51,151.01,149.88,151.18
33,2025/01/22 16:23:22.893,150.88,151.01,151.07,151.55,151.02,149.90,151.20
34,2025/01/22 16:23:24.647,150.88,150.99,151.05,151.57,151.02,149.89,151.19
35,2025/01/22 16:23:26.416,150.91,150.98,151.01,151.54,151.02,149.90,151.20
36,2025/01/22 16:23:28.173,150.90,150.97,151.04,151.54,151.02,149.89,151.20
37,2025/01/22 16:23:29.925,150.89,150.95,151.04,151.53,151.01,149.89,151.20
38,2025/01/22 16:23:31.693,150.92,150.95,151.05,151.53,151.03,149.92,151.20
39,2025/01/22 16:23:33.444,150.96,151.00,151.03,151.52,151.04,149.93,151.22
40,2025/01/22 16:23:35.196,150.94,151.02,151.04,151.52,151.04,149.90,151.25
41,2025/01/22 16:23:36.964,150.89,150.99,151.04,151.47,151.03,149.90,151.24
42,2025/01/22 16:23:38.717,150.83,150.98,151.02,151.51,150.98,149.87,151.20
43,2025/01/22 16:23:40.485,150.80,150.94,151.00,151.53,150.97,149.86,151.18
44,2025/01/22 16:23:42.238,150.80,150.95,151.02,151.54,150.98,149.87,151.19
45,2025/01/22 16:23:43.992,150.79,150.95,151.00,151.50,150.99,149.89,151.16
46,2025/01/22 16:23:45.764,150.87,150.97,151.04,151.50,151.01,149.91,151.17
47,2025/01/22 16:23:47.515,150.90,150.96,151.00,151.52,151.00,149.89,151.15
48,2025/01/22 16:23:49.267,150.92,150.96,151.04,151.50,150.98,149.86,151.13
49,2025/01/22 16:23:51.033,150.94,150.97,151.02,151.49,150.97,149.84,151.15
50,2025/01/22 16:23:52.785,150.91,150.96,151.03,151.47,150.98,149.84,151.16
51,2025/01/22 16:23:54.553,150.90,150.95,150.99,151.48,150.98,149.85,151.17
52,2025/01/22 16:23:56.306,150.82,150.94,150.99,151.50,151.00,149.86,151.22
53,2025/01/22 16:23:58.073,150.82,150.96,151.02,151.50,150.98,149.86,151.22
54,2025/01/22 16:23:59.827,150.84,150.97,150.98,151.52,150.96,149.87,151.20
55,2025/01/22 16:24:01.594,150.85,150.92,151.01,151.50,150.99,149.89,151.18
56,2025/01/22 16:24:03.346,150.85,150.94,151.01,151.47,150.98,149.91,151.21
57,2025/01/22 16:24:05.099,150.86,150.93,151.00,151.44,150.99,149.92,151.20
58,2025/01/22 16:24:06.867,150.83,150.94,151.00,151.47,150.99,149.90,151.16
59,2025/01/22 16:24:08.619,150.83,150.93,151.00,151.48,150.94,149.84,151.08
60,2025/01/22 16:24:10.389,150.83,150.91,150.99,151.50,150.91,149.83,151.13
61,2025/01/22 16:24:12.142,150.85,150.89,150.95,151.46,150.96,149.80,151.19
62,2025/01/22 16:24:13.896,150.84,150.93,150.95,151.46,150.97,149.82,151.21
63,2025/01/22 16:24:15.663,150.84,150.95,150.98,151.48,151.01,149.84,151.19
64,2025/01/22 16:24:17.416,150.87,150.94,151.04,151.52,150.97,149.86,151.18
65,2025/01/22 16:24:19.169,150.86,150.96,151.03,151.47,150.96,149.87,151.18
66,2025/01/22 16:24:20.938,150.86,150.93,151.01,151.45,150.92,149.87,151.17
67,2025/01/22 16:24:22.689,150.80,150.93,150.95,151.44,150.93,149.83,151.15
68,2025/01/22 16:24:24.457,150.80,150.90,150.97,151.43,150.97,149.83,151.16
69,2025/01/22 16:24:26.209,150.79,150.90,150.96,151.46,150.97,149.86,151.17
70,2025/01/22 16:24:27.978,150.78,150.92,150.94,151.47,151.00,149.88,151.17
71,2025/01/22 16:24:29.729,150.83,150.90,150.97,151.48,150.95,149.88,151.17
72,2025/01/22 16:24:31.482,150.85,150.92,151.01,151.45,150.96,149.89,151.17
73,2025/01/22 16:24:33.251,150.87,150.90,151.01,151.43,150.98,149.85,151.16
74,2025/01/22 16:24:35.003,150.84,150.89,150.98,151.46,150.97,149.85,151.17
75,2025/01/22 16:24:36.770,150.85,150.90,150.97,151.48,150.96,149.84,151.15
76,2025/01/22 16:24:38.524,150.84,150.88,151.00,151.45,150.95,149.90,151.12
77,2025/01/22 16:24:40.276,150.84,150.93,151.03,151.46,150.95,149.87,151.18
78,2025/01/22 16:24:42.043,150.89,150.92,150.97,151.46,150.99,149.82,151.20
79,2025/01/22 16:24:43.796,150.89,150.89,150.93,151.47,150.99,149.83,151.17
80,2025/01/22 16:24:45.564,150.87,150.87,150.91,151.46,150.96,149.87,151.12
81,2025/01/22 16:24:47.318,150.85,150.89,150.93,151.49,150.95,149.85,151.10
82,2025/01/22 16:24:49.070,150.83,150.92,150.96,151.51,150.95,149.86,151.13
83,2025/01/22 16:24:50.839,150.82,150.94,150.95,151.47,150.96,149.85,151.18
84,2025/01/22 16:24:52.591,150.78,150.93,150.99,151.46,150.96,149.88,151.19
85,2025/01/22 16:24:54.358,150.82,150.92,151.01,151.45,150.95,149.85,151.17
86,2025/01/22 16:24:56.111,150.87,150.93,151.03,151.45,150.97,149.87,151.14
87,2025/01/22 16:24:57.865,150.86,150.93,151.00,151.45,150.99,149.85,151.11
88,2025/01/22 16:24:59.632,150.87,150.92,150.97,151.45,150.95,149.81,151.15
89,2025/01/22 16:25:01.384,150.84,150.94,150.96,151.43,150.92,149.84,151.17
90,2025/01/22 16:25:03.150,150.81,150.93,150.93,151.47,150.90,149.87,151.18
91,2025/01/22 16:25:04.902,150.80,150.87,150.97,151.46,150.93,149.86,151.18
92,2025/01/22 16:25:06.669,150.79,150.87,150.95,151.46,150.95,149.83,151.16
93,2025/01/22 16:25:08.422,150.79,150.91,150.95,151.42,151.00,149.81,151.10
94,2025/01/22 16:25:10.191,150.81,150.91,150.96,151.43,150.94,149.85,151.12
95,2025/01/22 16:25:11.942,150.83,150.91,150.94,151.41,150.95,149.84,151.15
96,2025/01/22 16:25:13.710,150.82,150.88,150.97,151.42,150.93,149.87,151.18
97,2025/01/22 16:25:15.462,150.85,150.88,150.97,151.46,150.93,149.89,151.17
98,2025/01/22 16:25:17.213,150.81,150.94,150.91,151.45,150.93,149.87,151.14
99,2025/01/22 16:25:18.979,150.78,150.89,150.92,151.43,150.95,149.85,151.13
100,2025/01/22 16:25:20.745,150.76,150.89,150.94,151.41,150.95,149.85,151.14
101,2025/01/22 16:25:22.496,150.70,150.88,150.97,151.42,150.95,149.79,151.14
102,2025/01/22 16:25:24.262,150.75,150.85,150.92,151.42,150.96,149.78,151.09
103,2025/01/22 16:25:26.014,150.78,150.85,150.90,151.40,150.95,149.82,151.07
104,2025/01/22 16:25:27.765,150.81,150.86,150.94,151.41,150.96,149.82,151.11
105,2025/01/22 16:25:29.535,150.84,150.90,150.95,151.42,150.97,149.83,151.15
106,2025/01/22 16:25:31.287,150.81,150.92,150.99,151.43,150.93,149.85,151.17
107,2025/01/22 16:25:33.053,150.83,150.91,150.97,151.50,150.92,149.85,151.18
108,2025/01/22 16:25:34.806,150.83,150.92,150.97,151.48,150.92,149.87,151.18
109,2025/01/22 16:25:36.573,150.77,150.91,150.94,151.48,150.97,149.84,151.16
110,2025/01/22 16:25:38.324,150.78,150.89,150.97,151.51,151.02,149.86,151.16
111,2025/01/22 16:25:40.094,150.79,150.91,150.95,151.44,150.98,149.85,151.14
112,2025/01/22 16:25:41.861,150.81,150.91,150.93,151.42,150.93,149.85,151.13
113,2025/01/22 16:25:43.611,150.83,150.87,150.95,151.41,150.93,149.84,151.13
114,2025/01/22 16:25:45.378,150.86,150.89,150.93,151.43,150.93,149.86,151.11
